model,fold,accuracy,precision,recall,f1
Naive Bayes,1,0.8209285187914517,0.7068814055636896,0.9630959505286256,0.8153339525458076
Naive Bayes,2,0.8186358798002129,0.7057958223006767,0.9571115100738081,0.8124629582592499
Naive Bayes,3,0.8209285187914517,0.7087765957446809,0.9569120287253142,0.8143621084797555
Naive Bayes,4,0.8152788012773274,0.7019188516185733,0.9559146219828446,0.8094594594594594
Naive Bayes,5,0.8188815196921313,0.7064112011790715,0.9561141033313385,0.8125105950161045
k-NN (k=5),1,0.9605338573651028,0.9479928811548349,0.9563135846798324,0.9521350546176762
k-NN (k=5),2,0.9574224187341358,0.9417895771878073,0.9553161779373629,0.9485046543870074
k-NN (k=5),3,0.9619258167526407,0.9481671265273945,0.959704767604229,0.9539010607712898
k-NN (k=5),4,0.9606157373290756,0.9458874458874459,0.9589068422102534,0.9523526498266468
k-NN (k=5),5,0.9605338573651028,0.9490584737363726,0.9551166965888689,0.9520779479021674
Random Forest,1,0.9774830099074756,0.9908827186075425,0.9539198084979055,0.9720500050818173
Random Forest,2,0.976418570375829,0.9856115107913669,0.9565130660283263,0.9708443004656813
Random Forest,3,0.9779742896913125,0.9908940397350994,0.9551166965888689,0.9726764855256476
Random Forest,4,0.9768279701956931,0.98904052936311,0.9541192898463994,0.9712661183876535
Random Forest,5,0.9794481290428232,0.9903212520593081,0.9593058049072412,0.9745668254129091
